,ano,uf,genero,mes,numero
557,2015,São Paulo,Masculino,Junho,69
558,2015,São Paulo,Masculino,Julho,72
559,2015,São Paulo,Masculino,Agosto,72
560,2015,São Paulo,Masculino,Setembro,76
561,2015,São Paulo,Masculino,Outubro,85
562,2015,São Paulo,Masculino,Novembro,86
563,2015,São Paulo,Masculino,Dezembro,78
564,2015,Paraná,Masculino,Janeiro,14
565,2015,Paraná,Masculino,Fevereiro,9
566,2015,Paraná,Masculino,Março,7
567,2015,Paraná,Masculino,Abril,17
568,2015,Paraná,Masculino,Maio,16
569,2015,Paraná,Masculino,Junho,10
570,2015,Paraná,Masculino,Julho,13
571,2015,Paraná,Masculino,Agosto,7
572,2015,Paraná,Masculino,Setembro,17
573,2015,Paraná,Masculino,Outubro,27
574,2015,Paraná,Masculino,Novembro,12
575,2015,Paraná,Masculino,Dezembro,11
576,2015,Santa Catarina,Masculino,Janeiro,8
577,2015,Santa Catarina,Masculino,Fevereiro,9
578,2015,Santa Catarina,Masculino,Março,16
579,2015,Santa Catarina,Masculino,Abril,18
580,2015,Santa Catarina,Masculino,Maio,16
581,2015,Santa Catarina,Masculino,Junho,16
582,2015,Santa Catarina,Masculino,Julho,15
583,2015,Santa Catarina,Masculino,Agosto,14
584,2015,Santa Catarina,Masculino,Setembro,36
585,2015,Santa Catarina,Masculino,Outubro,24
586,2015,Santa Catarina,Masculino,Novembro,22
587,2015,Santa Catarina,Masculino,Dezembro,16
588,2015,Rio Grande do Sul,Masculino,Janeiro,6
589,2015,Rio Grande do Sul,Masculino,Fevereiro,5
590,2015,Rio Grande do Sul,Masculino,Março,12
591,2015,Rio Grande do Sul,Masculino,Abril,7
592,2015,Rio Grande do Sul,Masculino,Maio,15
593,2015,Rio Grande do Sul,Masculino,Junho,11
